[16/06/2022 11:32:31] --> GM: ADM [268477771], Target: [no-target], Action: [admin_reload], Params: [] 
[16/06/2022 11:33:17] --> GM: ADM [268477771], Target: [no-target], Action: [admin_server_restart 0], Params: [] 
[16/06/2022 11:42:33] --> GM: ADM [268477771], Target: [ADM], Action: [admin_gmspeed 4], Params: [] 
[16/06/2022 11:42:41] --> GM: ADM [268477771], Target: [ADM], Action: [admin_vis], Params: [] 
[16/06/2022 11:42:47] --> GM: ADM [268477771], Target: [ADM], Action: [admin_vis], Params: [] 
[16/06/2022 11:42:50] --> GM: ADM [268477771], Target: [ADM], Action: [admin_admin], Params: [] 
[16/06/2022 11:43:05] --> GM: ADM [268477771], Target: [ADM], Action: [admin_invis_menu], Params: [] 
[16/06/2022 11:43:10] --> GM: ADM [268477771], Target: [no-target], Action: [admin_admin], Params: [] 
[16/06/2022 11:43:15] --> GM: ADM [268477771], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[16/06/2022 11:43:22] --> GM: ADM [268477771], Target: [no-target], Action: [admin_admin], Params: [] 
[16/06/2022 11:43:25] --> GM: ADM [268477771], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[16/06/2022 11:43:29] --> GM: ADM [268477771], Target: [no-target], Action: [admin_vis], Params: [] 
[16/06/2022 11:43:33] --> GM: ADM [268477771], Target: [no-target], Action: [admin_visible], Params: [] 
[16/06/2022 11:45:00] --> GM: ADM [268477771], Target: [Ghost of a Soldier], Action: [admin_gmspeed 0], Params: [] 
[16/06/2022 11:46:26] --> GM: ADM [268477771], Target: [no-target], Action: [admin_enchant], Params: [] 
[16/06/2022 11:46:32] --> GM: ADM [268477771], Target: [no-target], Action: [admin_setew], Params: [ 14] 
[16/06/2022 11:48:19] --> GM: ADM [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[16/06/2022 11:48:23] --> GM: ADM [268477771], Target: [no-target], Action: [admin_buy], Params: [ 300534] 
[16/06/2022 11:57:20] --> GM: ADM [268477771], Target: [Ghost of a Loyal Vassal], Action: [admin_server_restart 0], Params: [] 
[16/06/2022 11:59:40] --> GM: ADM [268477771], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[16/06/2022 12:01:45] --> GM: ADM [268477771], Target: [Grave Robber Ranger], Action: [admin_admin], Params: [] 
