[24/06/2022 21:10:07] --> GM: XxAdilioxX [268477771], Target: [XxAdilioxX], Action: [admin_edit_character], Params: [] 
[24/06/2022 21:10:09] --> GM: XxAdilioxX [268477771], Target: [XxAdilioxX], Action: [admin_setsex], Params: [] 
[24/06/2022 21:10:59] --> GM: XxAdilioxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[24/06/2022 21:11:05] --> GM: XxAdilioxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 3001] 
[24/06/2022 21:12:38] --> GM: XxAdilioxX [268477771], Target: [Gatekeeper Zombie], Action: [admin_gmspeed 4], Params: [] 
[24/06/2022 21:13:09] --> GM: XxAdilioxX [268477771], Target: [no-target], Action: [admin_gmspeed 0], Params: [] 
[24/06/2022 21:13:44] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_show_droplist], Params: [ 22140] 
[24/06/2022 21:13:47] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_add_drop], Params: [ 22140] 
[24/06/2022 21:15:02] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_add_drop], Params: [ 22140 6378 1 1 1 1] 
[24/06/2022 21:15:04] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_show_droplist], Params: [ 22140] 
[24/06/2022 21:15:48] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[24/06/2022 21:15:49] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[24/06/2022 21:15:50] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[24/06/2022 21:15:51] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[24/06/2022 21:15:53] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[24/06/2022 21:15:54] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[24/06/2022 21:15:56] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[24/06/2022 21:15:56] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[24/06/2022 21:15:58] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_heal], Params: [] 
[24/06/2022 21:15:59] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[24/06/2022 21:15:59] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[24/06/2022 21:16:01] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[24/06/2022 21:16:02] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[24/06/2022 21:16:03] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[24/06/2022 21:16:03] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[24/06/2022 21:16:06] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[24/06/2022 21:16:09] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[24/06/2022 21:16:09] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[24/06/2022 21:16:10] --> GM: XxAdilioxX [268477771], Target: [Zombie Worker], Action: [admin_res], Params: [] 
