[17/06/2022 20:29:01] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_show_skills], Params: [] 
[17/06/2022 20:29:02] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_remove_all_skills], Params: [] 
[17/06/2022 20:29:06] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_show_skills], Params: [] 
[17/06/2022 20:29:07] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_give_all_skills], Params: [] 
[17/06/2022 20:30:03] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_gmspeed 4], Params: [] 
[17/06/2022 20:32:51] --> GM: XxClaudinhaxX [268477771], Target: [Temple Gatekeeper], Action: [admin_instant_move], Params: [] 
[17/06/2022 20:33:52] --> GM: XxClaudinhaxX [268477771], Target: [Temple Gatekeeper], Action: [admin_reload], Params: [] 
[17/06/2022 20:33:54] --> GM: XxClaudinhaxX [268477771], Target: [Temple Gatekeeper], Action: [admin_reload], Params: [ teleport] 
[17/06/2022 20:36:22] --> GM: XxClaudinhaxX [268477771], Target: [Temple Gatekeeper], Action: [admin_gmspeed 4], Params: [] 
[17/06/2022 20:37:15] --> GM: XxClaudinhaxX [268477771], Target: [Temple Gatekeeper], Action: [admin_heal], Params: [] 
[17/06/2022 20:38:52] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_admin], Params: [] 
[17/06/2022 20:39:30] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_reload], Params: [] 
[17/06/2022 20:39:34] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_reload], Params: [ configs] 
[17/06/2022 20:39:36] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_admin], Params: [] 
[17/06/2022 20:39:38] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_move_to], Params: [] 
[17/06/2022 20:39:39] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[17/06/2022 20:39:40] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[17/06/2022 20:39:41] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[17/06/2022 20:40:17] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[17/06/2022 20:40:22] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_admin], Params: [] 
[17/06/2022 20:40:23] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_move_to], Params: [] 
[17/06/2022 20:40:24] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[17/06/2022 20:40:26] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[17/06/2022 20:40:29] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_move_to], Params: [ 79711 145488 -3499] 
[17/06/2022 20:41:07] --> GM: XxClaudinhaxX [268477771], Target: [Alexandria], Action: [admin_admin], Params: [] 
[17/06/2022 20:41:08] --> GM: XxClaudinhaxX [268477771], Target: [Alexandria], Action: [admin_move_to], Params: [] 
[17/06/2022 20:41:09] --> GM: XxClaudinhaxX [268477771], Target: [Alexandria], Action: [admin_help], Params: [ tele/towns.htm] 
[17/06/2022 20:41:10] --> GM: XxClaudinhaxX [268477771], Target: [Alexandria], Action: [admin_help], Params: [ tele/towns/giran.htm] 
